X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"9146",2015/07/21 00:00:00,2015/07/21 00:00:00+00,"239",FR,FRA,France,Occitanie,Languedoc-Roussillon,Pyrénées-Orientales,Calce,modis,0,0,0,30.6382978723274,25.5319148936062,0,37.4468085106224,6.38297872340154,0,17.9814257739008,"0",2022/01/26 11:57:54.973,EU,EU
,,"263",2015/07/30 00:00:00,2015/07/30 00:00:00+00,"109",FR,FRA,France,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,Alpes-Maritimes,Saint-Vallier-de-Thiey,modis,0,0,0,0,35.7798165137286,64.2201834861796,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"7132",2015/07/30 00:00:00,2015/07/31 00:00:00+00,"81",FR,FRA,France,Occitanie,Languedoc-Roussillon,Gard,Saint-André-de-Valborgne,modis,3.70370370369913,7.40740740739826,0,0,88.8888888887791,0,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"5297",2015/07/30 00:00:00,2015/07/30 00:00:00+00,"39",FR,FRA,France,Corse,Corse,Haute-Corse,Muro,modis,0,0,0,0,0,99.9999999997436,0,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"5269",2015/07/17 00:00:00,2015/07/17 00:00:00+00,"107",FR,FRA,France,Auvergne-Rhône-Alpes,Rhône-Alpes,Loire,Châteauneuf,modis,14.5454545454413,17.2727272727116,0,0,14.5454545454413,0,53.6363636363149,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"9145",2015/07/21 00:00:00,2015/07/21 00:00:00+00,"97",FR,FRA,France,Auvergne-Rhône-Alpes,Rhône-Alpes,Ardèche,Malbosc,modis,0,99.9999999998969,0,0,0,0,0,0,0,99.9999999999999,"0",2022/01/26 11:57:54.973,EU,EU
,,"9292",2015/07/21 00:00:00,2015/07/21 00:00:00+00,"85",FR,FRA,France,Occitanie,Languedoc-Roussillon,Pyrénées-Orientales,Corneilla-la-Rivière,modis,0,0,0,87.0588235293093,0,0,12.941176470573,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"9367",2015/09/18 00:00:00,2015/09/18 00:00:00+00,"65",FR,FRA,France,Occitanie,Languedoc-Roussillon,Pyrénées-Orientales,Cerbère,modis,0,0,0,9.09090909089532,0,89.3939393938039,0,1.51515151514922,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"9658",2015/08/29 00:00:00,2015/08/29 00:00:00+00,"27",FR,FRA,France,Auvergne-Rhône-Alpes,Rhône-Alpes,Ardèche,Plats,modis,14.2857142856633,0,21.4285714284949,0,0,0,64.2857142854847,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"10822",2015/07/03 00:00:00,2015/07/03 00:00:00+00,"69",FR,FRA,France,Occitanie,Languedoc-Roussillon,Hérault,Vailhan,modis,0,0,0,92.7536231882714,0,0,7.2463768115837,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
